country_name,entity_id,country_code,__last_seen,__first_seen
DRC,gb-hmt-sanctions.13433,CD,2018-04-26 12:44:54.399582,2018-04-12 08:17:44.227706
Ugandan,gb-hmt-sanctions.12204,UG,2018-04-26 12:44:32.554870,2018-04-12 08:16:58.810037
Saudi Arabian,gb-hmt-sanctions.13126,SA,2018-04-26 12:44:43.217986,2018-04-12 08:17:31.337602
Kuwaiti,gb-hmt-sanctions.13132,KW,2018-04-26 12:44:45.505097,2018-04-12 08:17:24.345744
Tunisian,gb-hmt-sanctions.13130,TN,2018-04-26 12:44:43.808716,2018-04-12 08:17:30.634171
Afghan,gb-hmt-sanctions.13144,,2018-04-26 12:44:50.677861,2018-04-12 08:17:24.904652
DRC,gb-hmt-sanctions.13439,CD,2018-04-26 12:44:53.308847,2018-04-12 08:17:43.066492
DRC and Belgian nationalities,gb-hmt-sanctions.13461,,2018-04-26 12:44:53.562844,2018-04-12 08:17:43.882888
DRC,gb-hmt-sanctions.13466,CD,2018-04-26 12:44:53.841409,2018-04-12 08:17:49.734053
Democratic Peoples Republic of Korea,gb-hmt-sanctions.13489,,2018-04-26 12:44:54.974553,2018-04-12 08:17:43.099250
DPRK,gb-hmt-sanctions.13482,KP,2018-04-26 12:44:55.214402,2018-04-12 08:17:41.993444
DRC,gb-hmt-sanctions.13437,CD,2018-04-26 12:44:55.634667,2018-04-12 08:17:44.160616
DPRK,gb-hmt-sanctions.13533,KP,2018-04-26 12:45:03.799789,2018-04-12 08:18:15.564890
Kuwaiti,gb-hmt-sanctions.13279,KW,2018-04-26 12:44:46.668178,2018-04-12 08:17:37.372659
British,gb-hmt-sanctions.13297,GB,2018-04-26 12:44:48.356424,2018-04-12 08:17:45.685013
Jordanian,gb-hmt-sanctions.13194,JO,2018-04-26 12:44:48.364164,2018-04-12 08:17:35.672071
Saudi Arabian,gb-hmt-sanctions.13295,SA,2018-04-26 12:44:49.110977,2018-04-12 08:17:34.700105
Iraqi,gb-hmt-sanctions.13136,IQ,2018-04-26 12:44:49.127749,2018-04-12 08:17:35.680481
Yemen,gb-hmt-sanctions.13191,YE,2018-04-26 12:44:50.495480,2018-04-12 08:17:37.142863
North Korean,gb-hmt-sanctions.13328,KP,2018-04-26 12:44:52.908716,2018-04-12 08:17:41.627001
